thisRow.t,notes,phase,angle_bias,color_cue,true_shape,chosen_shape,chosen_conf,control_rating_0to100,accuracy,prop_used,running_accuracy,true_or_med,participant,session,
,,practice,90,blue,dot,dot,guess,50.0,1,0.45,1.0,,12,001,
,,practice,0,blue,square,square,confident,100,1,0.4,1.0,,12,001,
,,practice,0,blue,dot,dot,confident,100,1,0.35000000000000003,1.0,,12,001,
,,practice,90,green,dot,square,confident,100,0,0.75,0.0,,12,001,
,,practice,90,green,dot,square,confident,100,0,0.8,0.0,,12,001,
,,practice,90,green,dot,square,confident,100,0,0.8500000000000001,0.0,,12,001,
,,practice,0,blue,square,square,confident,100,1,0.30000000000000004,1.0,,12,001,
,,practice,0,green,square,dot,confident,100,0,0.9000000000000001,0.0,,12,001,
,,practice,90,blue,dot,dot,confident,100,1,0.25000000000000006,1.0,,12,001,
,,practice,0,green,square,dot,confident,100,0,0.9500000000000002,0.0,,12,001,
,,test,90,blue,dot,square,confident,80.0,0,0.6000000000000001,,medium,12,001,
